,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
701,2022-09-26,1664172000,84.2,57.3,69.9,81.4,57.3,69.3,40.8,37.2,0.0,0.0,0.0,,0.0,0.0,12.1,10.9,123.6,1019.3,7.2,9.9,199.6,17.3,7.0,10.0,07:19:09,1664198349,19:17:51,1664241471,0.03,Clear,Clear conditions throughout the day.,clear-day,"['QHW', 'MTMET', '72572024127', 'WBB', 'F7048', 'KHIF', 'A0002804116', '72057299999', 'KSLC']",obs
702,2020-09-20,1600585200,103.9,78.3,92.4,98.8,78.3,88.9,42.4,18.9,0.0,0.0,0.0,,0.0,0.0,16.6,9.8,77.4,1007.7,16.1,9.9,238.0,20.4,8.0,,06:15:26,1600607726,18:27:02,1600651622,0.12,Clear,Clear conditions throughout the day.,clear-day,"['MADC', '72278903192', '72278403184', 'KSDL', 'KDVT', '72278023183', 'KPHX', 'SRP32']",obs
703,2021-09-29,1632895200,60.7,43.0,52.6,60.7,39.4,51.4,31.9,47.1,0.0,0.0,0.0,,0.0,0.0,,11.5,321.9,1017.5,64.5,9.9,132.1,11.3,6.0,,07:22:24,1632921744,19:12:24,1632964344,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['MTMET', 'QHW', '72572024127', 'WBB', 'F7048', 'KHIF', '72575524101', 'A0002804116', '72057299999', 'KSLC']",obs
704,2023-10-07,1696658400,70.6,36.7,53.3,70.6,30.6,51.2,29.1,44.4,0.0,0.0,0.0,,0.0,0.0,12.8,10.5,197.4,1023.7,9.4,9.9,204.8,17.6,8.0,10.0,07:01:55,1696683715,18:33:08,1696725188,0.77,Clear,Clear conditions throughout the day.,clear-day,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067']",obs
705,2022-10-07,1665122400,78.9,53.8,65.2,78.9,53.8,65.2,37.3,37.9,0.0,0.0,0.0,,0.0,0.0,10.5,10.3,169.7,1021.0,9.8,9.9,173.9,15.0,7.0,10.0,07:30:23,1665149423,18:59:39,1665190779,0.42,Clear,Clear conditions throughout the day.,clear-day,"['QHW', '72572024127', 'WBB', 'F7048', 'KHIF', '72057299999', 'A0002804116', 'KSLC']",obs
706,2019-11-21,1574319600,28.5,25.6,27.1,22.1,17.1,19.8,25.9,95.1,0.013,100.0,20.83,"['rain', 'snow']",1.2,0.4,,10.2,36.7,1020.5,90.4,4.1,14.5,1.0,1.0,,06:51:09,1574344269,16:40:09,1574379609,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', 'CSU92', '72466693067', 'F3820', 'AENC2']",obs
707,2022-03-08,1646719200,36.4,9.4,25.5,30.4,5.9,20.3,14.9,66.3,0.0,0.0,0.0,,0.0,1.5,21.3,12.5,220.7,1019.7,6.7,9.3,138.2,11.9,5.0,10.0,06:21:37,1646742097,17:55:38,1646783738,0.19,Clear,Clear conditions throughout the day.,clear-day,"['BKNW3', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
708,2022-03-17,1647489600,72.0,44.8,58.8,72.0,43.5,58.5,41.3,53.9,0.0,0.0,0.0,,0.0,0.0,28.4,17.0,244.0,1011.7,33.7,9.9,164.8,14.2,6.0,10.0,07:46:34,1647517594,19:47:09,1647560829,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'MIMSU', 'E9296', 'KLAN']",obs
709,2021-03-06,1615006800,39.8,21.0,30.5,31.9,12.6,22.7,17.1,58.5,0.0,0.0,0.0,,0.0,0.4,23.9,16.9,311.3,1026.3,6.4,9.9,124.0,10.7,7.0,,07:05:05,1615032305,18:34:19,1615073659,0.76,Clear,Clear conditions throughout the day.,clear-day,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'E9296', 'KLAN', '72537804887']",obs
710,2020-04-10,1586494800,48.8,28.3,38.7,45.7,20.0,33.1,21.1,50.8,0.0,0.0,0.0,,0.0,0.0,21.9,15.9,287.2,1017.0,13.8,9.9,201.2,17.2,7.0,,06:35:32,1586518532,19:52:18,1586566338,0.59,Clear,Clear conditions throughout the day.,clear-day,"['C5560', 'KSTP', 'KSGS', '72658414927', 'KMSP', '72658014922', '72660304974']",obs
711,2021-04-22,1619064000,48.0,25.2,36.8,43.0,19.4,31.7,19.5,52.1,0.0,0.0,0.0,,0.0,0.0,28.8,16.0,269.2,1018.2,30.6,9.9,218.5,18.8,8.0,,06:45:13,1619088313,20:28:50,1619137730,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'KLAN', '72537804887']",obs
712,2021-04-05,1617595200,64.0,45.1,55.3,64.0,40.5,54.7,40.1,59.0,0.216,100.0,37.5,['rain'],0.0,0.0,20.8,14.8,144.9,1016.5,35.8,9.1,102.5,8.9,5.0,,07:12:57,1617621177,20:09:22,1617667762,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72539014836', '72028404877', 'KY70', 'MIHTC', 'KFPK', 'E9296', 'KLAN', '72537804887']",obs
713,2019-04-04,1554354000,55.8,43.7,47.7,55.8,36.4,43.5,40.8,77.3,0.0,0.0,0.0,,0.0,0.0,30.5,15.9,97.3,1020.5,88.3,9.9,93.3,7.9,6.0,,06:52:39,1554378759,19:42:57,1554424977,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KDSM', 'KAMW', '72546014933', '72546604938', 'KIKV', '99999954902', 'C6735']",obs
714,2023-05-01,1682917200,50.6,38.5,43.5,50.6,29.1,36.5,33.2,67.8,0.079,100.0,16.67,['rain'],0.0,0.0,39.6,25.2,321.9,998.7,96.3,9.6,85.5,7.3,3.0,10.0,05:51:28,1682938288,19:58:39,1682989119,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['MIALT', 'BKNW3', 'F3620', '72641014837', 'KEFT', 'KC29', '99999900236', 'KMSN']",obs
715,2023-05-29,1685332800,86.0,51.2,70.2,83.2,51.2,69.5,45.6,45.0,0.0,0.0,0.0,,0.0,0.0,11.4,9.1,54.4,1017.0,0.0,9.9,190.6,16.5,10.0,10.0,06:04:32,1685354672,21:07:15,1685408835,0.32,Clear,Clear conditions throughout the day.,clear-day,"['72539014836', 'KY70', 'MIMSU', 'E9296', 'KLAN', '72537804887']",obs
