,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
162,2019-11-07,1573106400,72.3,58.5,64.8,72.3,58.5,64.8,59.9,84.6,0.426,100.0,25.0,['rain'],0.0,0.0,18.5,11.8,38.6,1020.7,85.0,8.8,80.9,6.9,5.0,06:07:20,1573128440,16:49:59,1573166999,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['99999973802', 'KMXF', '72226513821', 'TT396', '72226013895', 'KMGM', 'K1A9', 'BDAA1']",obs,
163,2020-12-24,1608786000,67.6,38.6,53.1,67.6,29.6,51.2,50.2,90.1,1.492,100.0,37.5,['rain'],0.0,0.0,41.4,21.8,234.8,1012.6,64.1,9.1,15.3,1.5,1.0,07:31:38,1608813098,17:42:31,1608849751,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72214093805', 'K2J9', 'KTLH', 'KBGE', '72026853882', '1080W', '99999900325', '0434W']",obs,
164,2022-12-15,1671080400,71.9,47.6,63.4,71.9,46.5,63.3,54.4,75.5,0.797,100.0,41.67,['rain'],0.0,0.0,26.3,16.8,262.1,1011.4,44.6,8.9,151.3,13.2,6.0,07:26:38,1671107198,17:38:06,1671143886,0.75,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"['72214093805', 'K2J9', 'KTLH', 'KBGE', '0344W', '0004W', '72026853882', '1080W', '99999900325']",obs,30.0
165,2023-12-10,1702184400,67.8,48.9,64.1,67.8,43.1,63.8,60.9,89.6,1.998,100.0,62.5,['rain'],0.0,0.0,36.8,18.9,204.1,1011.6,99.5,7.9,12.7,1.2,1.0,07:13:40,1702210420,17:00:59,1702245659,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['KLHZ', '72214103731', '72213103713', '1327W', 'KRDU', '72306013722']",obs,10.0
166,2020-03-17,1584424800,60.0,39.4,49.5,60.0,36.9,48.0,25.1,40.7,0.0,0.0,0.0,,0.0,0.0,23.5,17.9,195.7,1011.8,12.4,9.9,143.2,12.4,5.0,07:10:43,1584450643,19:13:34,1584494014,0.77,Clear,Clear conditions throughout the day.,clear-day,"['72365623049', '99999903033', '72367723054', 'D2584', 'SFWN5', '72365493091', 'KSAF', 'KLAM']",obs,
167,2019-05-30,1559196000,69.7,42.4,55.5,69.7,38.8,54.7,36.5,50.9,0.012,100.0,8.33,['rain'],0.0,0.0,33.7,19.4,91.4,1014.7,40.7,9.9,488.1,41.9,10.0,05:50:01,1559217001,20:12:55,1559268775,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72365623049', '99999903033', '72367723054', 'D2584', 'SFWN5', '72365493091', 'KSAF', 'KLAM', 'E0657']",obs,
168,2023-05-26,1685080800,74.4,57.3,65.3,74.4,57.3,65.3,46.5,53.1,0.0,0.0,0.0,,0.0,0.0,39.1,24.6,137.7,1010.9,22.1,9.9,304.1,26.1,10.0,05:51:47,1685101907,20:10:17,1685153417,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72365623049', '99999903033', '72367723054', 'D2584', 'SFWN5', '72365493091', 'ELCN5', 'KSAF', 'KLAM']",obs,30.0
169,2019-05-27,1558936800,69.2,47.0,56.9,69.2,42.6,56.2,45.0,68.4,0.065,100.0,12.5,['rain'],0.0,0.0,35.6,18.1,243.0,1004.4,52.5,9.8,225.0,19.5,8.0,05:36:35,1558956995,20:18:06,1559009886,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067', 'C9516']",obs,
170,2022-06-23,1655967600,106.1,85.6,94.9,104.3,86.2,92.9,54.0,26.3,0.0,0.0,0.0,,0.0,0.0,43.7,18.0,130.8,1006.5,43.0,9.4,274.3,23.7,10.0,05:19:34,1655986774,19:41:41,1656038501,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72278903192', '72278403184', 'KSDL', 'KDVT', '72278023183', 'KPHX', 'AZM15', 'SRP32']",obs,30.0
171,2023-06-17,1686981600,67.7,47.1,57.8,67.7,47.1,57.8,47.3,71.6,0.0,0.0,0.0,,0.0,0.0,31.1,18.8,307.3,1014.0,73.3,9.5,234.2,20.2,9.0,05:31:37,1687001497,20:30:22,1687055422,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067']",obs,10.0
172,2019-06-02,1559455200,80.7,51.8,64.9,79.6,51.8,64.9,45.9,53.1,0.005,100.0,4.17,['rain'],0.0,0.0,38.8,23.8,182.9,1011.1,44.4,9.9,162.7,14.0,10.0,05:33:44,1559475224,20:22:34,1559528554,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067']",obs,
173,2020-07-08,1594188000,94.3,58.9,79.2,89.6,58.9,77.3,33.6,24.2,0.0,0.0,0.0,,0.0,0.0,48.3,17.4,351.6,1006.0,43.9,9.9,243.3,21.0,10.0,05:40:06,1594208406,20:30:00,1594261800,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067']",obs,
174,2019-07-04,1562220000,84.7,61.9,69.5,83.3,61.9,69.4,55.7,63.6,0.428,100.0,20.83,['rain'],0.0,0.0,34.4,14.4,44.7,1009.1,51.1,9.7,219.5,18.9,10.0,05:37:14,1562240234,20:31:21,1562293881,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', 'C7015', '72466693067']",obs,
175,2021-07-13,1626156000,101.5,82.7,90.5,96.6,81.1,87.3,44.0,21.0,0.0,0.0,0.0,,0.0,0.0,38.6,22.7,161.5,1006.4,71.0,9.9,263.7,22.9,9.0,06:07:54,1626178074,20:58:32,1626231512,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['MTMET', 'QHW', '72572024127', 'WBB', 'F7048', 'KHIF', '72575524101', 'A0002804116', 'KSLC']",obs,
176,2022-08-21,1661065200,96.6,79.0,85.2,101.8,79.0,87.7,67.0,56.0,0.007,100.0,8.33,['rain'],0.0,0.0,51.6,16.0,246.6,1011.9,65.6,9.7,276.3,23.9,9.0,05:54:58,1661086498,19:07:20,1661134040,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72278903192', '72278403184', 'KSDL', 'KDVT', '72278023183', 'KPHX', 'AZM15']",obs,60.0
177,2019-08-22,1566453600,88.8,57.1,72.2,85.2,57.1,71.3,48.2,50.0,0.0,0.0,0.0,,0.0,0.0,35.7,19.5,175.8,1010.4,47.7,9.9,203.7,17.5,8.0,06:18:27,1566476307,19:46:37,1566524797,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKF', 'KDEN', '72469523036', 'KAPA', '72565003017', '72466693067', 'C9516']",obs,
178,2021-09-02,1630562400,85.6,67.6,74.5,83.4,67.6,74.1,52.0,46.4,0.004,100.0,8.33,['rain'],0.0,0.0,41.6,19.4,160.3,1007.7,61.8,9.9,185.5,15.9,7.0,06:55:48,1630587348,19:57:41,1630634261,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['MTMET', 'QHW', '72572024127', 'WBB', 'F7048', 'KHIF', '72575524101', 'A0002804116', 'KSLC']",obs,
179,2022-03-05,1646460000,60.5,34.7,50.6,60.5,21.8,47.8,46.1,84.8,1.308,100.0,54.17,['rain'],0.0,0.0,41.5,28.6,206.0,1004.9,94.4,7.7,25.5,2.4,2.0,06:42:36,1646484156,18:09:52,1646525392,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KDSM', 'KAMW', '72546014933', '72546604938', 'KIKV', 'F8044', '99999954902', 'C6735']",obs,30.0
