datetime,dew,humidity,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon,Region,Tornado,Temp_Difference
2019-04-19,59.0,71.4,0.584,29.7,18.2,163.0,1005.0,57.2,9.4,74.8,6.4,3.0,"Rain, Partially cloudy",rain,NORTHEAST,1,8.299999999999997
2019-04-20,38.6,52.7,0.0,24.9,15.7,182.6,1012.4,0.0,9.9,281.8,24.3,9.0,Clear,clear-day,SOUTH,0,41.1
2019-04-20,44.5,57.7,0.0,27.7,17.3,190.9,1014.3,3.4,9.9,243.8,21.1,8.0,Clear,clear-day,SOUTH,0,35.7
2019-04-21,45.7,69.9,0.026,40.9,28.9,26.5,1008.6,32.3,9.9,114.7,10.0,4.0,"Rain, Partially cloudy",rain,NORTHERN ROCKIES AND PLAINS,0,14.200000000000003
2019-04-21,45.3,77.6,0.0,0.0,8.8,252.5,1015.9,60.6,9.9,99.1,8.7,4.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,17.800000000000004
2019-04-23,50.3,62.6,0.0,28.1,18.5,252.3,1014.2,52.7,9.9,141.3,12.4,6.0,Partially cloudy,partly-cloudy-day,OHIO VALLEY,0,18.800000000000004
2019-04-25,64.1,88.9,1.018,33.3,24.4,208.7,1008.9,60.5,8.9,88.8,7.6,7.0,"Rain, Partially cloudy",rain,SOUTH,1,13.099999999999994
2019-04-26,55.1,73.0,0.506,32.2,18.3,175.4,1001.9,64.0,9.2,86.8,7.4,7.0,"Rain, Partially cloudy",rain,NORTHEAST,1,14.099999999999994
2019-05-02,64.4,82.0,0.123,33.3,18.5,73.8,1014.2,70.9,9.0,104.2,8.7,5.0,"Rain, Partially cloudy",rain,SOUTH,1,15.100000000000001
2019-05-04,61.5,73.8,0.391,31.1,11.3,8.0,1011.1,20.2,9.9,294.0,25.3,10.0,"Rain, Partially cloudy",rain,SOUTH,1,20.4
2019-05-07,68.5,81.5,1.3,34.4,12.2,139.0,1012.0,77.1,8.9,162.9,14.1,6.0,"Rain, Partially cloudy",rain,SOUTH,1,17.799999999999997
2019-05-08,67.3,85.1,1.429,33.1,11.3,162.4,1006.0,80.6,8.1,96.0,7.9,6.0,"Rain, Partially cloudy",rain,SOUTH,1,11.900000000000006
2019-05-09,67.1,83.2,1.57,47.2,21.0,144.0,1015.3,59.9,9.6,169.1,14.5,8.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,18.099999999999994
2019-05-10,29.0,47.1,0.0,40.3,19.5,198.4,1016.2,74.4,9.8,199.7,17.2,6.0,Partially cloudy,partly-cloudy-day,NORTHERN ROCKIES AND PLAINS,0,29.700000000000003
2019-05-10,52.6,82.2,0.393,17.2,13.5,286.5,1016.1,82.6,9.2,143.5,12.4,5.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,12.100000000000001
2019-05-10,32.2,55.0,0.0,17.2,8.8,278.7,1019.8,25.5,9.9,206.1,17.8,7.0,Partially cloudy,partly-cloudy-day,UPPER MIDWEST,0,21.799999999999997
