,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
188,2023-03-07,1678168800,52.0,37.1,43.6,52.0,29.0,36.8,31.8,63.8,0.0,0.0,0.0,,0.0,0.0,29.6,20.7,47.9,1026.9,61.4,9.9,169.5,14.6,8.0,06:22:51,1678191771,17:57:00,1678233420,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['74466653944', 'KTAZ', 'KSPI', 'MASI2', 'KAAA', 'F6994', '72439093822', 'D3458', '74467204862']",obs,10.0
189,2021-04-15,1618462800,61.1,39.8,51.8,61.1,37.0,50.9,31.9,48.2,0.0,0.0,0.0,,0.0,0.0,18.3,10.3,2.4,1019.2,19.3,9.9,249.3,21.5,9.0,06:32:07,1618486327,19:45:49,1618533949,0.12,Clear,Clear conditions throughout the day.,clear-day,"['72445803963', 'D5315', 'KJEF', '72442013997', 'KVIH', '72445003945', 'KCOU']",obs,
190,2021-04-30,1619758800,79.4,50.3,66.9,79.4,50.3,66.9,41.5,43.4,0.0,0.0,0.0,,0.0,0.0,,10.3,283.5,1021.0,0.0,9.9,293.7,25.3,9.0,06:12:18,1619781138,20:00:07,1619830807,0.62,Clear,Clear conditions throughout the day.,clear-day,"['D5315', '72442013997', 'E3196', 'KVIH', '72445003945', 'KCOU']",obs,
191,2020-04-14,1586840400,50.1,35.9,44.0,50.1,34.6,40.1,30.0,59.0,0.0,0.0,0.0,,0.0,0.0,31.1,17.0,10.9,1023.3,39.1,9.9,194.8,16.8,8.0,06:14:23,1586862863,19:20:39,1586910039,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72327013897', '0679W', 'E9547', 'KBNA', 'KMQY', '72327313827']",obs,
192,2020-04-05,1586062800,55.1,42.1,47.5,55.1,39.3,46.5,40.2,75.8,0.0,0.0,0.0,,0.0,0.0,,8.0,109.8,1019.2,94.6,8.8,74.5,6.3,3.0,06:46:30,1586087190,19:36:32,1586133392,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"['72445803963', 'D5315', 'KJEF', '72442013997', 'KVIH', '72445003945', 'KCOU']",obs,
193,2023-04-24,1682308800,47.7,37.2,42.1,43.3,33.0,37.7,28.8,60.1,0.0,0.0,0.0,,0.0,0.0,20.8,13.3,290.8,1021.9,75.9,9.9,168.7,14.5,7.0,06:41:33,1682332893,20:19:31,1682381971,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KCMH', 'KTZR', 'KOSU', '72092800315', '72428804804', '0731W', 'AV747', '72428014821']",obs,10.0
194,2019-04-23,1555992000,73.4,54.6,63.5,73.4,54.6,63.5,50.3,62.6,0.0,0.0,0.0,,0.0,0.0,28.1,18.5,252.3,1014.2,52.7,9.9,141.3,12.4,6.0,06:42:56,1556016176,20:18:25,1556065105,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KCMH', 'KTZR', 'KOSU', '72092800315', '72428804804', 'E5493', '72428014821']",obs,
195,2020-04-01,1585713600,54.0,42.2,46.9,54.0,36.7,44.5,37.1,69.7,0.0,0.0,0.0,,0.0,0.0,18.3,9.2,320.7,1015.4,87.8,9.8,5.0,0.0,0.0,07:23:41,1585740221,20:03:17,1585785797,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72422093820', 'KLEX', 'KFFT', '0786W', '72423353841', '99999963838', '72423513810']",obs,
196,2020-04-10,1586494800,57.8,33.1,45.8,57.8,28.8,43.9,21.8,40.3,0.0,0.0,0.0,,0.0,0.0,,9.2,311.7,1019.7,20.4,9.9,271.6,23.5,9.0,06:39:01,1586518741,19:41:17,1586565677,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72445803963', 'D5315', 'KJEF', '72442013997', 'KVIH', '72445003945', 'KCOU']",obs,
197,2021-04-17,1618632000,60.2,42.1,50.2,60.2,42.1,50.0,40.0,69.7,0.0,0.0,0.0,,0.0,0.0,,11.3,281.1,1012.4,58.5,9.9,13.1,0.9,1.0,07:00:37,1618657237,20:18:00,1618705080,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72422093820', 'KLEX', 'KFFT', 'AV666', '0786W', '72423353841', '99999963838']",obs,
