,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
160,2019-04-25,1556168400,75.6,62.5,67.7,75.6,62.5,67.7,64.1,88.9,1.018,100.0,37.5,['rain'],0.0,0.0,33.3,24.4,208.7,1008.9,60.5,8.9,88.8,7.6,7.0,06:20:33,1556191233,19:37:20,1556239040,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72078700278', 'D5633', 'KJVW', '72235413927', 'MAYM6', 'KHKS', '72235003940', 'KJAN']",obs,
161,2019-04-14,1555218000,67.1,44.8,54.7,67.1,44.8,54.7,49.7,83.5,0.065,100.0,8.33,['rain'],0.0,0.0,30.1,21.3,254.0,1007.9,68.5,9.7,51.0,4.5,2.0,06:32:58,1555241578,19:29:33,1555288173,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72078700278', 'D5633', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,
162,2019-04-17,1555477200,77.2,58.0,69.6,77.2,58.0,69.6,55.7,61.6,0.055,100.0,4.17,['rain'],0.0,0.0,30.8,21.8,201.0,1004.6,77.1,9.9,110.8,9.7,5.0,06:43:21,1555501401,20:01:49,1555549309,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72456513920', 'KFOE', '72450803997', 'KTOP', 'TS790', 'F1237', '72456013996', 'KLWC']",obs,
163,2019-04-18,1555563600,76.4,61.1,65.5,76.4,61.1,65.5,62.6,90.8,2.237,100.0,25.0,['rain'],0.0,0.0,35.5,19.7,178.6,1006.6,61.2,8.2,65.1,5.6,5.0,06:28:17,1555586897,19:32:22,1555633942,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72078700278', 'D5633', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,
164,2019-04-07,1554613200,84.7,65.9,74.6,88.1,65.9,75.4,69.0,84.3,1.509,100.0,20.83,['rain'],0.0,0.0,43.6,19.2,136.4,1014.9,73.4,7.3,146.5,12.7,8.0,06:46:50,1554637610,19:27:22,1554683242,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['F1193', '72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457']",obs,
165,2020-04-24,1587704400,74.0,51.1,62.4,74.0,51.1,62.4,55.0,78.8,0.0,0.0,0.0,,0.0,0.0,,13.7,129.7,1009.2,57.6,9.9,184.4,16.1,8.0,06:25:44,1587727544,19:49:03,1587775743,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'D8400', 'KLIT', 'LNKA4']",obs,
166,2022-04-12,1649739600,80.8,68.0,72.9,81.7,68.0,73.0,63.4,73.3,0.054,100.0,20.83,['rain'],0.0,0.0,33.1,21.6,182.4,1010.4,93.4,9.6,133.0,11.4,7.0,06:41:07,1649763667,19:39:07,1649810347,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'UAPA4', 'E9770', 'KLIT', 'LNKA4']",obs,30.0
167,2021-04-23,1619154000,71.9,61.8,67.0,71.9,61.8,67.0,65.0,93.3,0.836,100.0,45.83,['rain'],0.0,0.0,32.2,10.4,118.8,1008.4,92.7,3.7,54.0,4.5,3.0,06:55:00,1619178900,20:03:53,1619226233,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KATT', 'KAUS', '72064800230', 'E4737', '72254013904', '72254413958', 'E5093']",obs,
168,2022-04-23,1650690000,77.0,60.0,71.3,77.0,60.0,71.3,56.8,60.5,0.339,100.0,16.67,['rain'],0.0,0.0,50.1,31.6,179.0,1003.5,69.5,9.8,103.7,9.1,6.0,06:34:40,1650713680,20:07:57,1650762477,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72456513920', 'KFOE', '72450803997', 'F7360', 'KTOP', 'TS790', '72456013996', 'KLWC']",obs,60.0
169,2022-04-24,1650776400,67.3,53.3,60.5,67.3,53.3,60.5,47.0,63.8,0.022,100.0,12.5,['rain'],0.0,0.0,32.2,20.9,37.6,1012.0,82.4,9.9,100.2,8.7,4.0,06:46:14,1650800774,20:10:45,1650849045,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['72354013919', '72353013967', 'KTIK', 'AV216', 'KPWA', 'KOKC', '72354403954']",obs,10.0
170,2020-04-28,1588050000,84.7,62.2,72.4,86.3,62.2,72.9,60.7,68.3,0.119,100.0,8.33,['rain'],0.0,0.0,30.4,20.1,195.4,1008.2,28.0,9.8,196.2,16.9,8.0,06:41:04,1588074064,20:14:27,1588122867,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['F2084', '72354013919', '72353013967', 'KTIK', 'KPWA', 'E7272', 'KOKC', '72354403954']",obs,
171,2022-04-17,1650171600,77.6,62.5,67.0,77.6,62.5,67.0,64.8,92.9,1.362,100.0,16.67,['rain'],0.0,0.0,30.9,9.3,108.1,1012.6,77.5,6.2,125.2,10.8,7.0,06:29:08,1650194948,19:31:53,1650241913,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72078700278', 'KJVW', 'MAYM6', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,75.0
172,2022-04-04,1649048400,79.0,65.4,71.3,79.0,65.4,71.3,63.8,77.7,0.0,0.0,0.0,,0.0,0.0,27.7,13.3,141.4,1007.0,88.6,8.7,82.8,7.1,3.0,07:16:25,1649074585,19:51:50,1649119910,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KATT', 'KAUS', '72064800230', 'KEDC', '72254013904', '72254413958', 'D9418', 'E5093']",obs,60.0
173,2022-04-05,1649134800,81.6,63.8,70.4,83.2,63.8,70.6,63.4,79.7,1.452,100.0,29.17,['rain'],0.0,0.0,41.4,18.1,195.3,1003.8,61.8,9.1,194.4,16.8,8.0,06:43:43,1649159023,19:23:31,1649204611,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['72078700278', 'KJVW', 'MAYM6', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,30.0
174,2023-04-05,1680670800,76.6,59.4,69.7,76.6,59.4,69.7,48.0,51.7,0.0,0.0,0.0,,0.0,0.0,34.9,16.3,11.6,1011.9,92.6,8.7,130.8,11.4,6.0,07:15:31,1680696931,19:52:19,1680742339,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"['KATT', 'KAUS', '72064800230', 'KEDC', '72254013904', '72254413958', 'D9418', 'E5093']",obs,75.0
175,2021-05-18,1621314000,73.7,70.1,71.6,73.7,70.1,71.6,66.8,84.8,1.038,100.0,37.5,['rain'],0.0,0.0,31.1,15.9,121.5,1015.4,79.7,8.5,139.3,11.9,5.0,06:00:43,1621335643,19:54:04,1621385644,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72078700278', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,
176,2020-05-08,1588914000,79.8,59.2,67.4,79.8,59.2,67.4,61.5,82.2,1.648,100.0,25.0,['rain'],0.0,0.0,35.3,13.5,159.9,1015.0,41.2,9.0,89.0,7.6,5.0,06:14:57,1588936497,19:47:53,1588985273,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', 'LSU01', '1311W']",obs,
177,2019-05-25,1558760400,89.9,75.3,81.3,95.5,75.3,83.2,69.3,68.4,0.0,0.0,0.0,,0.0,0.0,26.3,15.7,146.7,1014.8,62.0,9.8,200.0,17.4,7.0,06:32:03,1558783923,20:24:05,1558833845,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', '72254413958']",obs,
178,2021-05-03,1620018000,84.9,62.9,74.4,89.4,62.9,75.4,67.9,81.6,0.0,0.0,0.0,,0.0,0.0,24.2,14.9,193.3,1003.8,85.2,9.5,115.7,9.9,3.0,06:16:19,1620040579,19:56:06,1620089766,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'E9770', 'KLIT']",obs,
179,2019-05-04,1556946000,81.5,61.1,71.0,82.4,61.1,71.1,61.5,73.8,0.391,100.0,12.5,['rain'],0.0,0.0,31.1,11.3,8.0,1011.1,20.2,9.9,294.0,25.3,10.0,06:45:15,1556970315,20:10:41,1557018641,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', '72254413958']",obs,
180,2021-05-02,1619931600,80.0,66.0,72.4,80.0,66.0,72.4,66.5,82.3,0.845,100.0,41.67,['rain'],0.0,0.0,35.8,19.2,149.0,1008.7,79.6,9.0,153.5,13.4,7.0,06:20:03,1619954403,19:43:47,1620002627,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', '1311W']",obs,
181,2019-05-02,1556773200,78.7,63.6,70.3,78.7,63.6,70.3,64.4,82.0,0.123,100.0,29.17,['rain'],0.0,0.0,33.3,18.5,73.8,1014.2,70.9,9.0,104.2,8.7,5.0,06:46:58,1556797618,20:09:23,1556845763,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', '72254413958']",obs,
182,2021-05-18,1621314000,78.9,66.9,71.9,78.9,66.9,71.9,68.0,87.9,0.487,100.0,62.5,['rain'],0.0,0.0,44.5,28.6,117.7,1014.2,76.4,9.3,154.8,13.3,9.0,06:08:34,1621336114,19:54:15,1621385655,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', '1311W']",obs,
183,2020-05-17,1589691600,83.8,70.1,75.2,86.1,70.1,75.7,68.6,81.1,0.12,100.0,16.67,['rain'],0.0,0.0,31.1,19.3,211.5,1009.7,67.8,9.5,178.5,15.5,9.0,06:08:59,1589713739,19:53:45,1589763225,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', 'LSU01', '1311W']",obs,
184,2021-05-27,1622091600,83.0,66.5,75.1,86.9,66.5,76.2,68.5,80.9,1.066,100.0,16.67,['rain'],0.0,0.0,32.5,20.0,184.2,1011.8,70.2,9.7,149.7,12.9,9.0,06:17:58,1622114278,20:37:02,1622165822,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72354013919', '72353013967', 'KTIK', 'AV216', 'KPWA', 'KOKC', '72354403954']",obs,
185,2023-05-09,1683608400,75.6,69.5,72.1,75.6,69.5,72.1,67.8,86.7,0.133,100.0,29.17,['rain'],0.0,0.0,17.2,9.8,136.4,1012.2,78.4,8.5,69.0,5.9,4.0,06:41:18,1683632478,20:14:02,1683681242,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KATT', 'KAUS', '72064800230', 'KEDC', '72254013904', '72254413958', 'D9418', 'E5093']",obs,60.0
186,2021-05-09,1620536400,80.9,61.0,72.6,84.1,61.0,73.2,62.3,70.4,0.017,100.0,8.33,['rain'],0.0,0.0,35.4,24.0,223.3,1009.0,89.0,9.8,77.3,6.8,4.0,06:10:42,1620558642,20:00:53,1620608453,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'E9770', 'KLIT']",obs,
187,2020-05-25,1590382800,87.2,68.0,76.5,90.0,68.0,77.8,67.5,75.2,0.379,100.0,16.67,['rain'],0.0,0.0,38.6,19.4,127.3,1010.8,69.6,9.6,305.3,26.4,9.0,05:59:36,1590404376,20:13:01,1590455581,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'D8400', 'LNKA4', 'KLIT']",obs,
188,2019-05-08,1557291600,78.0,66.1,72.1,78.0,66.1,72.1,67.3,85.1,1.429,100.0,29.17,['rain'],0.0,0.0,33.1,11.3,162.4,1006.0,80.6,8.1,96.0,7.9,6.0,06:42:02,1557315722,20:13:18,1557364398,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', '72254413958']",obs,
189,2022-05-25,1653454800,83.3,61.0,70.2,81.3,61.0,69.8,53.8,61.8,1.12,100.0,16.67,['rain'],0.0,0.0,40.5,13.3,320.0,1010.3,28.1,9.1,288.1,25.1,9.0,06:31:58,1653478318,20:24:17,1653528257,0.83,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"['KATT', 'KAUS', '72064800230', 'KEDC', '72254013904', '72254413958', 'D9418', 'E5093']",obs,10.0
